CMDLINE c:\users\zengg\appdata\local\programs\python\python37-32\python.exe main.py
MEM 65.121094 1591676562.6141
MEM 69.851562 1591676562.7148
MEM 74.714844 1591676562.8155
MEM 79.210938 1591676562.9163
MEM 81.406250 1591676563.0170
MEM 81.410156 1591676563.1177
MEM 81.417969 1591676563.2184
MEM 81.527344 1591676563.3192
MEM 81.835938 1591676563.4199
MEM 82.097656 1591676563.5206
MEM 82.257812 1591676563.6214
MEM 82.558594 1591676563.7221
MEM 82.976562 1591676563.8228
MEM 83.269531 1591676563.9236
MEM 83.312500 1591676564.0243
MEM 83.406250 1591676564.1250
MEM 83.625000 1591676564.2257
MEM 83.917969 1591676564.3265
MEM 84.250000 1591676564.4272
MEM 84.617188 1591676564.5279
MEM 84.976562 1591676564.6287
MEM 85.351562 1591676564.7294
MEM 85.671875 1591676564.8301
MEM 85.992188 1591676564.9309
MEM 86.339844 1591676565.0316
MEM 86.664062 1591676565.1323
MEM 86.890625 1591676565.2331
MEM 87.183594 1591676565.3338
MEM 87.539062 1591676565.4345
MEM 87.886719 1591676565.5352
MEM 88.226562 1591676565.6360
MEM 88.621094 1591676565.7367
MEM 88.968750 1591676565.8374
MEM 89.199219 1591676565.9382
MEM 89.460938 1591676566.0389
MEM 89.644531 1591676566.1396
MEM 89.816406 1591676566.2404
MEM 90.097656 1591676566.3411
MEM 90.359375 1591676566.4418
MEM 90.601562 1591676566.5426
MEM 90.839844 1591676566.6433
MEM 91.199219 1591676566.7440
MEM 91.507812 1591676566.8447
MEM 91.929688 1591676566.9455
MEM 92.070312 1591676567.0462
MEM 92.402344 1591676567.1469
MEM 92.476562 1591676567.2477
MEM 92.539062 1591676567.3484
MEM 92.628906 1591676567.4491
MEM 92.730469 1591676567.5499
MEM 92.910156 1591676567.6506
MEM 93.109375 1591676567.7513
MEM 93.277344 1591676567.8520
MEM 93.437500 1591676567.9528
MEM 93.621094 1591676568.0535
MEM 93.824219 1591676568.1543
MEM 94.074219 1591676568.2550
MEM 94.199219 1591676568.3557
MEM 94.332031 1591676568.4565
MEM 94.566406 1591676568.5572
MEM 94.843750 1591676568.6579
MEM 96.164062 1591676568.7586
MEM 97.699219 1591676568.8594
MEM 96.632812 1591676568.9601
MEM 97.214844 1591676569.0608
MEM 97.214844 1591676569.1616
MEM 97.214844 1591676569.2623
MEM 97.214844 1591676569.3630
MEM 97.214844 1591676569.4638
MEM 97.214844 1591676569.5645
MEM 97.218750 1591676569.6652
MEM 97.222656 1591676569.7660
MEM 97.222656 1591676569.8667
MEM 97.222656 1591676569.9674
MEM 97.222656 1591676570.0681
MEM 97.222656 1591676570.1689
MEM 97.222656 1591676570.2696
MEM 97.222656 1591676570.3703
MEM 97.222656 1591676570.4711
MEM 97.222656 1591676570.5718
MEM 97.222656 1591676570.6725
MEM 97.222656 1591676570.7733
MEM 97.222656 1591676570.8740
MEM 97.230469 1591676570.9747
MEM 97.230469 1591676571.0755
MEM 97.230469 1591676571.1762
MEM 97.234375 1591676571.2769
MEM 97.246094 1591676571.3776
MEM 97.257812 1591676571.4784
MEM 97.261719 1591676571.5791
MEM 97.265625 1591676571.6798
MEM 97.273438 1591676571.7806
MEM 97.273438 1591676571.8813
MEM 97.289062 1591676571.9820
MEM 97.289062 1591676572.0828
MEM 97.289062 1591676572.1835
MEM 97.292969 1591676572.2842
MEM 97.296875 1591676572.3849
MEM 97.312500 1591676572.4857
MEM 97.316406 1591676572.5864
MEM 97.324219 1591676572.6871
MEM 97.355469 1591676572.7879
MEM 97.367188 1591676572.8886
MEM 97.375000 1591676572.9893
MEM 97.378906 1591676573.0901
MEM 97.910156 1591676573.1908
MEM 101.683594 1591676573.2915
MEM 101.683594 1591676573.3923
MEM 98.386719 1591676573.4930
MEM 98.386719 1591676573.5937
MEM 98.445312 1591676573.6944
MEM 98.445312 1591676573.7952
MEM 98.453125 1591676573.8959
MEM 98.453125 1591676573.9966
MEM 98.453125 1591676574.0974
MEM 98.453125 1591676574.1981
MEM 98.453125 1591676574.2988
MEM 98.453125 1591676574.3996
MEM 98.453125 1591676574.5003
MEM 98.453125 1591676574.6010
MEM 98.453125 1591676574.7018
MEM 98.472656 1591676574.8025
MEM 98.472656 1591676574.9032
MEM 98.480469 1591676575.0039
MEM 98.480469 1591676575.1047
MEM 98.480469 1591676575.2054
MEM 98.480469 1591676575.3061
MEM 98.480469 1591676575.4069
MEM 98.480469 1591676575.5076
MEM 98.480469 1591676575.6083
MEM 98.480469 1591676575.7091
MEM 98.480469 1591676575.8098
MEM 98.480469 1591676575.9105
MEM 98.480469 1591676576.0112
MEM 98.480469 1591676576.1120
MEM 98.480469 1591676576.2127
MEM 98.488281 1591676576.3134
MEM 98.546875 1591676576.4142
MEM 98.628906 1591676576.5149
MEM 98.648438 1591676576.6156
MEM 99.003906 1591676576.7164
MEM 99.019531 1591676576.8171
MEM 99.050781 1591676576.9178
MEM 99.074219 1591676577.0186
MEM 99.078125 1591676577.1193
MEM 99.082031 1591676577.2200
MEM 99.089844 1591676577.3207
MEM 99.312500 1591676577.4215
MEM 99.625000 1591676577.5222
MEM 99.949219 1591676577.6229
MEM 100.304688 1591676577.7237
MEM 100.597656 1591676577.8244
MEM 100.929688 1591676577.9251
MEM 101.269531 1591676578.0259
MEM 101.472656 1591676578.1266
MEM 101.667969 1591676578.2273
MEM 101.917969 1591676578.3281
MEM 102.144531 1591676578.4288
MEM 102.414062 1591676578.5295
MEM 102.535156 1591676578.6302
MEM 102.703125 1591676578.7310
MEM 103.031250 1591676578.8317
MEM 103.335938 1591676578.9324
MEM 103.617188 1591676579.0332
MEM 103.843750 1591676579.1339
MEM 104.054688 1591676579.2346
MEM 104.390625 1591676579.3354
MEM 104.664062 1591676579.4361
MEM 104.886719 1591676579.5368
MEM 105.093750 1591676579.6375
MEM 105.406250 1591676579.7383
MEM 105.660156 1591676579.8390
MEM 106.042969 1591676579.9397
MEM 106.347656 1591676580.0405
MEM 106.632812 1591676580.1412
MEM 106.894531 1591676580.2419
MEM 107.296875 1591676580.3427
MEM 107.535156 1591676580.4434
MEM 107.902344 1591676580.5441
MEM 108.207031 1591676580.6449
MEM 108.636719 1591676580.7456
MEM 108.738281 1591676580.8463
MEM 110.699219 1591676580.9470
MEM 119.679688 1591676581.0478
MEM 119.679688 1591676581.1485
MEM 109.769531 1591676581.2492
MEM 110.570312 1591676581.3500
MEM 110.570312 1591676581.4507
MEM 110.570312 1591676581.5514
MEM 110.570312 1591676581.6522
MEM 110.570312 1591676581.7529
MEM 110.617188 1591676581.8536
MEM 110.617188 1591676581.9543
MEM 110.617188 1591676582.0551
MEM 110.617188 1591676582.1558
MEM 110.636719 1591676582.2565
MEM 110.636719 1591676582.3573
MEM 110.636719 1591676582.4580
MEM 110.636719 1591676582.5587
MEM 110.636719 1591676582.6595
MEM 110.636719 1591676582.7602
MEM 110.636719 1591676582.8607
MEM 110.636719 1591676582.9614
MEM 110.644531 1591676583.0621
MEM 110.644531 1591676583.1629
MEM 110.644531 1591676583.2636
MEM 110.644531 1591676583.3643
MEM 110.644531 1591676583.4651
MEM 110.644531 1591676583.5658
MEM 110.644531 1591676583.6665
MEM 110.644531 1591676583.7673
MEM 110.644531 1591676583.8680
MEM 110.644531 1591676583.9687
MEM 110.687500 1591676584.0694
MEM 110.687500 1591676584.1702
MEM 110.687500 1591676584.2709
MEM 110.687500 1591676584.3716
MEM 110.687500 1591676584.4723
MEM 110.687500 1591676584.5845
MEM 110.687500 1591676584.6938
MEM 110.687500 1591676584.8032
MEM 110.687500 1591676584.9035
MEM 110.687500 1591676585.0043
MEM 110.687500 1591676585.1050
MEM 110.687500 1591676585.2057
MEM 110.687500 1591676585.3065
MEM 110.687500 1591676585.4072
MEM 110.687500 1591676585.5079
MEM 110.687500 1591676585.6086
MEM 110.687500 1591676585.7094
MEM 110.687500 1591676585.8193
MEM 110.687500 1591676585.9199
MEM 110.687500 1591676586.0206
MEM 110.687500 1591676586.1214
MEM 110.687500 1591676586.2221
MEM 110.687500 1591676586.3228
MEM 110.687500 1591676586.4236
MEM 110.714844 1591676586.5243
MEM 110.742188 1591676586.6250
MEM 110.742188 1591676586.7258
MEM 110.757812 1591676586.8362
MEM 110.843750 1591676586.9373
MEM 110.855469 1591676587.0380
MEM 110.855469 1591676587.1388
MEM 110.867188 1591676587.2395
MEM 110.886719 1591676587.3402
MEM 110.894531 1591676587.4410
MEM 110.894531 1591676587.5417
MEM 110.898438 1591676587.6424
MEM 110.925781 1591676587.7431
MEM 110.925781 1591676587.8440
MEM 110.925781 1591676587.9447
MEM 111.027344 1591676588.0454
MEM 111.027344 1591676588.1462
MEM 111.031250 1591676588.2469
MEM 111.125000 1591676588.3476
MEM 111.230469 1591676588.4484
MEM 111.496094 1591676588.5491
MEM 111.531250 1591676588.6498
MEM 111.535156 1591676588.7506
MEM 111.628906 1591676588.8513
MEM 111.660156 1591676588.9520
MEM 111.953125 1591676589.0527
MEM 112.011719 1591676589.1535
MEM 112.375000 1591676589.2542
MEM 112.441406 1591676589.3549
MEM 112.496094 1591676589.4557
MEM 112.812500 1591676589.5564
MEM 112.906250 1591676589.6571
MEM 113.132812 1591676589.7579
MEM 113.156250 1591676589.8588
MEM 113.218750 1591676589.9595
MEM 113.683594 1591676590.0602
MEM 113.796875 1591676590.1610
MEM 113.890625 1591676590.2617
MEM 114.109375 1591676590.3624
MEM 114.113281 1591676590.4632
MEM 114.394531 1591676590.5639
MEM 114.417969 1591676590.6646
MEM 114.562500 1591676590.7653
MEM 114.679688 1591676590.8661
MEM 114.746094 1591676590.9668
MEM 114.816406 1591676591.0675
MEM 115.125000 1591676591.1683
MEM 115.171875 1591676591.2690
MEM 115.179688 1591676591.3697
MEM 115.242188 1591676591.4705
MEM 115.296875 1591676591.5719
MEM 115.296875 1591676591.6813
MEM 115.296875 1591676591.7906
MEM 115.296875 1591676591.8915
MEM 115.375000 1591676591.9923
MEM 115.488281 1591676592.0930
MEM 115.593750 1591676592.1937
MEM 115.718750 1591676592.2945
MEM 115.882812 1591676592.3952
MEM 116.070312 1591676592.4959
MEM 116.214844 1591676592.5967
MEM 116.406250 1591676592.6974
MEM 116.542969 1591676592.7981
MEM 116.695312 1591676592.8988
MEM 116.894531 1591676592.9996
MEM 117.218750 1591676593.1003
MEM 117.421875 1591676593.2010
MEM 117.636719 1591676593.3018
MEM 117.800781 1591676593.4025
MEM 117.984375 1591676593.5032
MEM 118.156250 1591676593.6040
MEM 118.382812 1591676593.7047
MEM 118.578125 1591676593.8072
MEM 118.742188 1591676593.9077
MEM 118.933594 1591676594.0085
MEM 119.082031 1591676594.1092
MEM 119.183594 1591676594.2099
MEM 119.304688 1591676594.3107
MEM 119.445312 1591676594.4114
MEM 119.476562 1591676594.5268
MEM 119.515625 1591676594.6362
MEM 119.667969 1591676594.7455
MEM 119.761719 1591676594.8456
MEM 119.781250 1591676594.9463
MEM 119.816406 1591676595.0470
MEM 119.890625 1591676595.1478
MEM 120.070312 1591676595.2485
MEM 120.214844 1591676595.3492
MEM 120.339844 1591676595.4499
MEM 120.398438 1591676595.5597
MEM 120.472656 1591676595.6691
MEM 120.566406 1591676595.7784
MEM 120.707031 1591676595.8792
MEM 120.835938 1591676595.9799
MEM 120.929688 1591676596.0807
MEM 121.097656 1591676596.1814
MEM 121.375000 1591676596.2821
MEM 121.597656 1591676596.3829
MEM 121.781250 1591676596.4836
MEM 122.039062 1591676596.5927
MEM 122.296875 1591676596.7021
MEM 122.464844 1591676596.8114
MEM 122.640625 1591676596.9119
MEM 122.808594 1591676597.0126
MEM 123.074219 1591676597.1133
MEM 123.261719 1591676597.2140
MEM 123.507812 1591676597.3148
MEM 123.566406 1591676597.4155
MEM 130.480469 1591676597.5164
MEM 124.292969 1591676597.6257
MEM 124.496094 1591676597.7351
MEM 124.753906 1591676597.8360
MEM 124.914062 1591676597.9367
MEM 125.136719 1591676598.0375
MEM 125.355469 1591676598.1382
MEM 125.566406 1591676598.2389
MEM 125.722656 1591676598.3397
MEM 125.929688 1591676598.4404
MEM 126.082031 1591676598.5411
MEM 126.382812 1591676598.6419
MEM 126.535156 1591676598.7426
MEM 126.675781 1591676598.8433
MEM 126.796875 1591676598.9440
MEM 126.988281 1591676599.0448
MEM 128.292969 1591676599.1455
MEM 134.359375 1591676599.2463
MEM 137.160156 1591676599.3470
MEM 137.160156 1591676599.4477
MEM 128.953125 1591676599.5485
MEM 128.957031 1591676599.6492
MEM 128.957031 1591676599.7499
MEM 128.957031 1591676599.8504
MEM 128.957031 1591676599.9511
MEM 128.957031 1591676600.0519
MEM 128.957031 1591676600.1526
MEM 128.964844 1591676600.2533
